308.866, 129.490, 4.295,  4.379 False
308.722, 129.490, 4.326,  4.412 False
308.577, 129.489, 4.357,  4.445 False
308.431, 129.489, 4.389,  4.478 False
308.284, 129.489, 4.420,  4.511 False
308.136, 129.489, 4.451,  4.544 False
307.987, 129.489, 4.482,  4.577 False
307.837, 129.489, 4.513,  4.610 False
307.686, 129.489, 4.543,  4.643 False
307.533, 129.489, 4.574,  4.676 False
307.380, 129.489, 4.605,  4.709 False
307.226, 129.489, 4.636,  4.742 False
307.071, 129.488, 4.666,  4.775 False
306.914, 129.488, 4.697,  4.808 False
306.757, 129.488, 4.727,  4.841 False
306.599, 129.490, 4.756,  4.874 False
306.439, 129.492, 4.786,  4.907 False
306.279, 129.495, 4.818,  4.940 False
306.118, 129.498, 4.849,  4.973 False
305.955, 129.502, 4.879,  5.006 False
305.792, 129.505, 4.910,  5.039 False
305.628, 129.509, 4.941,  5.072 False
305.462, 129.514, 4.972,  5.105 False
305.296, 129.519, 5.003,  5.138 False
305.128, 129.524, 5.033,  5.171 False
304.960, 129.530, 5.064,  5.204 False
304.790, 129.535, 5.095,  5.237 False
304.620, 129.542, 5.124,  5.270 False
304.448, 129.548, 5.152,  5.303 False
304.276, 129.556, 5.172,  5.336 False
304.104, 129.564, 5.172,  5.369 False
303.932, 129.572, 5.165,  5.402 False
303.761, 129.580, 5.164,  5.435 False
303.589, 129.587, 5.175,  5.468 False
303.416, 129.595, 5.194,  5.501 False
303.242, 129.602, 5.221,  5.534 False
303.068, 129.610, 5.252,  5.567 False
302.892, 129.618, 5.289,  5.600 False
302.715, 129.627, 5.328,  5.633 False
302.536, 129.635, 5.369,  5.666 False
302.356, 129.643, 5.410,  5.699 False
302.175, 129.651, 5.452,  5.732 False
301.992, 129.659, 5.493,  5.765 False
301.808, 129.668, 5.535,  5.798 False
301.622, 129.678, 5.575,  5.831 False
301.436, 129.687, 5.615,  5.864 False
301.248, 129.696, 5.654,  5.897 False
301.059, 129.706, 5.692,  5.930 False
300.868, 129.717, 5.729,  5.963 False
300.676, 129.728, 5.766,  5.996 False
300.484, 129.740, 5.802,  6.029 False
300.290, 129.750, 5.838,  6.062 False
300.094, 129.761, 5.873,  6.095 False
299.898, 129.772, 5.908,  6.128 False
299.701, 129.783, 5.942,  6.161 False
299.502, 129.794, 5.976,  6.194 False
299.302, 129.806, 6.010,  6.227 False
299.101, 129.817, 6.044,  6.260 False
298.899, 129.828, 6.077,  6.293 False
298.696, 129.840, 6.111,  6.326 False
298.492, 129.852, 6.143,  6.359 False
298.287, 129.864, 6.176,  6.392 False
298.081, 129.875, 6.208,  6.425 False
297.873, 129.888, 6.241,  6.458 False
297.665, 129.900, 6.273,  6.491 False
297.455, 129.912, 6.305,  6.524 False
297.245, 129.924, 6.337,  6.557 False
297.033, 129.937, 6.369,  6.590 False
296.820, 129.949, 6.400,  6.623 False
296.607, 129.962, 6.432,  6.656 False
296.392, 129.974, 6.463,  6.689 False
296.176, 129.987, 6.495,  6.722 False
295.959, 130.000, 6.526,  6.755 False
295.741, 130.013, 6.558,  6.788 False
295.522, 130.026, 6.588,  6.821 False
295.302, 130.039, 6.620,  6.854 False
295.081, 130.052, 6.650,  6.887 False
294.859, 130.065, 6.682,  6.920 False
294.636, 130.079, 6.712,  6.953 False
294.412, 130.092, 6.743,  6.986 False
294.187, 130.105, 6.772,  7.019 False
293.961, 130.119, 6.803,  7.052 False
293.734, 130.133, 6.833,  7.085 False
293.506, 130.148, 6.863,  7.118 False
293.277, 130.164, 6.892,  7.151 False
293.047, 130.178, 6.923,  7.184 False
292.815, 130.193, 6.952,  7.217 False
292.583, 130.208, 6.983,  7.250 False
292.350, 130.222, 7.011,  7.283 False
292.116, 130.237, 7.041,  7.316 False
291.882, 130.252, 7.069,  7.349 False
291.646, 130.267, 7.099,  7.382 False
291.409, 130.282, 7.127,  7.415 False
291.171, 130.298, 7.156,  7.448 False
290.932, 130.314, 7.185,  7.481 False
290.693, 130.330, 7.215,  7.514 False
290.452, 130.346, 7.244,  7.547 False
290.210, 130.361, 7.274,  7.580 False
289.968, 130.376, 7.302,  7.613 False
289.724, 130.392, 7.333,  7.646 False
289.479, 130.407, 7.361,  7.679 False
289.234, 130.423, 7.391,  7.712 False
288.987, 130.438, 7.420,  7.745 False
288.739, 130.454, 7.449,  7.778 False
288.491, 130.469, 7.478,  7.811 False
288.241, 130.484, 7.507,  7.844 False
287.991, 130.500, 7.535,  7.877 False
287.740, 130.515, 7.565,  7.910 False
287.487, 130.531, 7.593,  7.943 False
287.234, 130.546, 7.622,  7.976 False
