-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.026,  0.214
-183.799, 80.193, 0.121,  0.247
-183.797, 80.185, 0.273,  0.280
-183.794, 80.173, 0.362,  0.313
-183.791, 80.158, 0.458,  0.346
-183.786, 80.140, 0.536,  0.379
-183.782, 80.121, 0.590,  0.412
-183.777, 80.100, 0.595,  0.445
-183.773, 80.082, 0.563,  0.478
-183.769, 80.064, 0.540,  0.511
-183.764, 80.046, 0.547,  0.544
-183.759, 80.026, 0.635,  0.577
-183.753, 80.002, 0.741,  0.610
-183.746, 79.975, 0.846,  0.643
-183.738, 79.944, 0.925,  0.676
-183.730, 79.912, 0.986,  0.709
-183.721, 79.879, 1.024,  0.742
-183.712, 79.845, 1.030,  0.775
-183.703, 79.812, 0.993,  0.808
-183.694, 79.781, 0.961,  0.841
-183.685, 79.751, 0.948,  0.874
-183.676, 79.720, 0.961,  0.907
-183.666, 79.687, 1.003,  0.940
-183.656, 79.654, 1.053,  0.973
-183.645, 79.618, 1.116,  1.006
-183.633, 79.580, 1.174,  1.039
-183.620, 79.541, 1.207,  1.072
-183.607, 79.502, 1.215,  1.105
-183.595, 79.463, 1.181,  1.138
-183.582, 79.426, 1.154,  1.171
-183.569, 79.390, 1.140,  1.204
-183.556, 79.354, 1.151,  1.237
-183.543, 79.316, 1.186,  1.270
-183.528, 79.277, 1.225,  1.303
-183.513, 79.237, 1.272,  1.336
-183.497, 79.195, 1.312,  1.369
-183.481, 79.153, 1.330,  1.402
-183.464, 79.111, 1.332,  1.435
-183.448, 79.070, 1.300,  1.468
-183.432, 79.030, 1.282,  1.501
-183.415, 78.990, 1.284,  1.534
-183.397, 78.949, 1.308,  1.567
-183.379, 78.908, 1.337,  1.600
-183.361, 78.866, 1.354,  1.633
-183.342, 78.824, 1.358,  1.666
-183.323, 78.782, 1.362,  1.699
-183.303, 78.740, 1.373,  1.732
